galname,rah,ram,ras,decsign,decd,decm,decs,glat_orig,semimajor,semiminor,posang,nhcon,fnu_12,fqual_12,fnu_25,fqual_25,fnu_60,fqual_60,fnu_100,fqual_100,fir,fqfir,relunc_12,relunc_25,relunc_60,relunc_100,cc_12,cc_25,cc_60,cc_100,cirr1,cirr2,confuse,pnearh,pnearw,hsdflag,ses1_12,ses1_25,ses1_60,ses1_100,ses2,nsss,sssname,dissss,nongal,idngal,dsngal,nrecs,rat_12_25,err_12_25,rat_25_60,err_25_60,rat_60_100,err_60_100,glon,glat,elon,elat,ra,dec,cra,cdec,ra1950,dec1950,cra1950,cdec1950,ROW_IDX,ROW_NUM
23175+2556,23,17,34.7,+,25,56,28,-32,55,12,61,2,0.28,L,0.25,L,0.96,,1.00,L,-13.36,L,,,C,,,,B,,2,4,0,0,1,0,0,0,0,2,,null,,null,null,,null,1,1.1200,0,0.2604,0,0.9600,0,98.5929,-32.3011,2.1346,27.8522,350.0109,26.2150,232002.6,+261254,349.3946,25.9411,231734.7,+255628,52,52
23176+2356,23,17,36.9,+,23,56,47,-34,27,8,61,2,0.28,L,0.29,:,2.68,,6.14,,-12.78,,,D,D,D,E,D,A,A,4,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9655,0,0.1082,0,0.4365,0,97.6193,-34.1220,1.1612,26.0560,350.0222,24.2203,232005.3,+241313,349.4037,23.9464,231736.9,+235647,53,53
23177+4241,23,17,46.5,+,42,41,36,-17,31,11,58,2,0.25,L,0.26,L,0.90,,2.07,,-13.26,,,,C,D,,D,B,A,1,6,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9615,0,0.2889,0,0.4348,0,105.6842,-16.8265,12.1357,42.5078,350.0385,42.9672,232009.2,+425802,349.4438,42.6933,231746.5,+424136,54,54
23179+2702,23,17,54.3,+,27,2,27,-31,36,6,59,2,0.26,,0.32,,3.01,,8.68,,-12.68,,C,F,C,C,C,D,A,A,5,3,0,0,0,0,1,0,0,0,,null,,null,null,,null,1,0.8125,0,0.1063,0,0.3468,0,99.1958,-31.3253,2.7640,28.8050,350.0916,27.3148,232022.0,+271853,349.4763,27.0408,231754.3,+270227,55,55
23179+1657,23,17,59.6,+,16,57,4,-40,40,7,65,2,0.58,,1.03,,9.14,,18.85,,-12.27,,C,C,C,D,B,A,A,A,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,0.5631,0,0.1127,0,0.4849,0,93.9058,-40.4655,358.0207,19.6856,350.1239,17.2251,232029.7,+171330,349.4983,16.9511,231759.6,+165704,56,56
23179-6929,23,17,59.7,-,69,29,20,-46,23,5,45,3,0.30,L,0.44,,5.71,,9.91,,-12.51,,,C,C,C,G,B,A,A,0,1,0,0,0,0,1,1,0,0,,null,,null,null,,null,1,0.6818,0,0.0771,0,0.5762,0,314.2244,-45.8815,309.3264,-56.5027,350.2691,-69.2147,232104.6,-691253,349.4987,-69.4889,231759.7,-692920,57,57
23180+2902,23,18,5.2,+,29,2,23,-30,85,21,59,2,0.25,L,0.31,L,0.44,:,1.69,,-13.45,:,,,D,E,,G,B,B,2,6,0,0,0,0,0,0,0,1,,null,,null,null,,null,1,0.8065,0,0.7045,0,0.2604,0,100.1615,-29.5076,3.8413,30.5717,350.1349,29.3137,232032.4,+291849,349.5217,29.0397,231805.2,+290223,58,58
23183-5821,23,18,22.9,-,58,21,23,-55,26,3,56,5,0.25,L,0.28,L,1.64,,3.42,,-13.02,,,,B,C,N,F,A,A,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.8929,0,0.1707,0,0.4795,0,323.7627,-55.2474,321.1852,-48.0205,350.3145,-58.0822,232115.5,-580456,349.5954,-58.3564,231822.9,-582123,59,59
23183+2332,23,18,23.6,+,23,32,6,-35,58,17,61,2,0.25,L,0.61,L,0.52,L,1.59,,-13.43,L,,,,C,E,,D,E,3,5,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,0.4098,0,1.1731,0,0.3270,0,97.6083,-34.5702,1.1408,25.6081,350.2177,23.8091,232052.2,+234833,349.5983,23.5350,231823.6,+233206,60,60
23189+1815,23,18,56.0,+,18,15,7,-39,57,11,64,3,0.25,L,0.25,L,0.85,,1.80,,-13.30,,,,C,C,,,B,B,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2941,0,0.4722,0,94.9233,-39.4007,358.8158,20.7745,350.3580,18.5261,232125.9,+183134,349.7333,18.2519,231856.0,+181507,61,61
